instruction,psmiles
target_Tg=400.0,"[*]c1cc(C)CCCCCNC(=-O)[Si](/N=P([Cl]([Na](OC)(Br)/CN3+)CS(-n4nc5sc6cs(OP2 =SOS)=F)*s7o8oc9co10cn11-12)-13%)nn14())#NP%23NN30+32nd=$21$34]*)(\cdote c012243),15($35-$45)k56).CO((\SSH)\Scorpium: (-)|\-')++dc65890325876788a02-)u"
target_Tg=400.0,[*]CC(O)c1ccc(-n2nc3ccc4sc5o6oc(OC(N7C8CCC9NC%10CN11HC12)(CO15F)/S[Si](CS([Br]))[NaCl]CP#cn\(\s+)\.(/\\\-/)P$34))SCNP14H32OP1323-21Sc20NN43nn46ns35+)Se2457AC25-)NS16R19CD18B17CB22)=&x233IC56SS10945((=(Gecko%)IOS67@*)75BC
target_Tg=400.0,"[*]c1ccc(OC2CC(C(F)(S)CO3CCC(O[Si](Sc4Cl)nc5ccc(-n6sc7oc8cn9o(/N+#P(\\([^H]+))/NN$NC%10(&s87)=CN %12)[Br])bc11-cs56&ns35)-nn34/)a32)\r21))ac1568')cf23542267436545782031924)'895716'),CSON(""$$"")OP13CB46SC37((NP<NS>)NI27"
target_Tg=400.0,"[*]Oc1ccc(C)nc(-n2sc3oc4ccc5c6-cn7cs32ns56[Si](CCC(OC(++)CCCCCC)s57)(CN8N9S([^])%10NC12CO11CSON13SCOP15F#P\rCoro21NSCP16I(\/)\)[+]((NP$)/NNH)-nn23Scrypt34Cl54),35)=R;43AC45CT40);42B31).41NH246776ACA22G25 CC27M36897865).["
target_Tg=400.0,"[*]CC(O)c1ccc(-n2nc3ccc4nc5ccc([Si](C)(CS6CN(F)(FH)N7CO9CCC8NC12OC13-10)=NP11S15Cl#sc16/Sc17[NSH](ns)[NV][NN]s35)/56+23%43P45+)a32SC21):o29SS22),ss1934:(nn25).b24)*(\bf{AAB}((BF))f42);h31\cd/.u30])$18-)onBr>BR(""@@"
target_Tg=400.0,"[*]Nc1cc(C)nc(-n2sc3ccc([Si](CSO)(SCC)OC4CCC5[NSH][NC(F)(FK)Cl)[SC7P9CN6CF8/CO12]$23)/NN10s\NP11SS21)=Xo$$32])oc35nn34-43%45+46NH15h56ns65#NR54ni67>Sc57cr64@76>)a62 nd8968uc3387cf4878477971b5902108bc1099875589702bf13),aa"
target_Tg=400.0,"[*]CC(C)c1ccc(-n2nc3sc4cccc(NC(F)(FK)N5[Si](CS(\P<Br>+)CP)=O)[Cl]OC6CCC8CN7S([^Sc](SC)/s1021)]CO912-11H),23))o17434554%257%)+13/57 CC32NN34NP35R33D#65J&B=(OP(""nn"")@67);[[NSFW=](_d)|DD;++)u56\oc{46}bc15b1879e2268"
target_Tg=400.0,"[*]Cc1cc(OC(CCCCCCCC)nc2sc(-n3[N+](O)[Si](CN)(COc4cc(Sc5ns(NC(Fluidity)=12)s6o7])([Cl], ([NaH]))8-10)%2357)/NN#CCC/NP9POP11S$&13\(\d+)CS$.43')SC2100)-87343532),nn156756455431).cn2550076334275).[Snprintf("" %f"")%""Printlnk""]47,-1944"
target_Tg=400.0,"[*]CC(C)c1ccccc1-2nc(-n3sc(N4S()=O)s5Sc5CCC(OC(F)(FC)COf6Cl7CN8NC(CF)(CS9[Si](P("")/(\Br\)""$/\)([Na]+)10))o12)[NSH][NP45420BC43])nn21)-23#32%34+11OP355754SC5633).co15oc13ns1087687).[MLA46323]-109NN12575.]@65Se16e17].ao19"
target_Tg=400.0,[*]Nc1cc(C)nc2cc(-n3c4ccc5[Si](CN()(CC)NC(F)(FC)CCC(O)[Na]CO12OC6Cl)-o7-CS8CM11CP9Br10)=S/H%23s34-)nn43>#SC32cn21+cs22ns13&sc(\d+)NN$Sc16bc([NP\-()\])@NS1535>)cl14)/da17++)fc56f45543057a6727e763731bf467587b65789825
target_Tg=400.0,"[*]CC(O)C1CCC2OC(c3ccc4c(-n5nc6o(P(NP(N7CS8NC(F)(FK)CF9SFC/CN#21)=Scorpion[Si](SCOR([Cl])CO12)[Br]NN10)/NS11++)s56-65),ns34);OP32B33;%23nn15+35bc22 c43+)oc4554137616%)u46188967306857471085587011H48CB25));sc1951())h41)""%,NV31"
target_Tg=400.0,[*]CC(F)(C)c1ccc2c(-n3nc4cc(O[Si](OC)[Ti](Cl)CN5NC(Branding:N6COCCC8-10 Crankshaft/s7sc9cn%231234)/21$32])#NP15S43H44B45+46)=P([Sc(\)\((\Psi\)SSCSOP57NS54AC56SC35CP53CSSNNCD89))o55){-(})).65}1096776757911)}')'.22);nn1311978873699
target_Tg=400.0,[*]CC(C)c1cccc(NC(Si)(Cl)CN(O[N+](])CO2F)o2)n1CCC3OC1221SC1023-32)[NP4A]S6P5CS#OP54B734/8H45)-43%11([NS(-_-)]Sc9Br)/s13%)9865)=nc15bc5657a02 c01NN(\frac{\sqrt{}}{\textbf_{}\qquad)}$).ns03)...></nn>')aa16671192289057617sc09
target_Tg=400.0,"[*]Oc1ccc2c(C)CC(OC(F)(FP)CCC(N3Cl(Br)CN4[Si](P5(-n6c7nc8sc(/S$NP([^Sc(\#]+)\)[o-])%10CSNC12((NS(OP(*))=ON)/NN13))ns11s9d688CP21A23CO15CF46D43H32G33),nn31SC3534);SS2256%)0000000054CD45E42;cn29a28)""}}));i16())B57BAAC"
target_Tg=400.0,"[*]Oc1ccc(OC2CCCC(C3)NC(N4CCC(F)(FH)CS5[Si](S)[P+])s6-9nc(-n10sc(-o11Sc12cn(Cl)oc(/CN([^_-]+)$)/i743)=OP8SC13(\NN#NP\SS%23)|nn21))); c32bc45ns35), n3454b29bf28)--a30}xb27).cr24-)e25789894155625722192.)Br31 C(""I am"").kn"
