target_tg,sample_index,smiles,is_valid,is_unique
350.0,0,[*]c1ccc(Oc2ccc(Oc3ccc([*])cc4)cc3)o2)c(Br)c1,False,True
350.0,1,[*]OC(=O)c1ccc(OCCCCCCCCCCCCOc2ccc(/N=N/c3ccc(C(=O)c4ccc(C([*])=O)cc3)cc2)c1,False,True
350.0,2,[*]Oc1ccc(-c2sc(-c3cccc(O-c4ccc(-c5cccc5)C(=O)N([*])cc5C(=O)c4cccc4)cc3)cc2ccc1,False,True
350.0,3,[*]CCCCCCCCCCCCCCCCCCNC([*])=O,True,True
350.0,4,[*]Nc1ccc(OC(=O)CCCCCCCCCNNC(=O)c2ccc(OC(=O)C3C(CCCCC\CC([*])=O)cc3Br)c2)ccc(C(=O)(O)c3cccc3)C2Occc12CC(=O)C,False,True
350.0,5,[*]Cc1cccc(OCCCCCCCCCCCC(=O)Oc2ccc(C(c3ccc(OC([*])=O)cc3)cc1CCCCC)cc1,False,True
350.0,6,[*]OCCCCCCCCCCCCCCNC(=O)c1ccc(Cc2ccc(CC([*])=O)cc2)cc1,True,True
350.0,7,[*]CC(F)(F)C(=O)Oc1cc(CC(F)(F)C(F)(F)C(F)Oc2cc([*])c(C(F)(F)cc2)cc1,False,True
350.0,8,[*]CCCCCNC(=O)NCCCNCCCCCCNC([*])=O,True,True
350.0,9,[*]c1ccc(Oc2ccc(C([*])(C)CC)cc2)cc1,True,True
350.0,10,[*]CC1CC(=O)c2cc([N+](=O)[O-])cc([*])cc2ccc2ccccc221,False,True
350.0,11,[*]CC([*])(C)C(=O)OCCCCOc1ccc(/N=N/c2ccc(OC(=O)c3ccc(Br)c2)cc2)cc1,False,True
350.0,12,[*]OC(=O)c1c(OCCCOc2ccc(C([*])=O)cc2OCCOc3ccccccc2)c1,False,True
350.0,13,[*]CC([*])(C)C(=O)OCCOc1cccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,False,True
350.0,14,[*]COc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(S(=O)(=O)c5ccc(C([*])(=O)OCCCCC)cc5)cc4)cc3)cc2)cc1,False,True
350.0,15,[*]O[Si](-]([*])(C)c1ccc(-c2ccc(-c3ccc(-c4ccc([*])cc3)cc3)cc2)c(F)cc1,False,True
350.0,16,[*]c1ccc(OC(=O)OCC([*])c2ccc(-c3ccc(OC(C)C)c3)cc2)cc1,False,True
350.0,17,[*]Cc1ccc(OC(=O)C(=O)c2ccc(C(=O)Oc3ccc(C(O)c5cccc5)C(=O)N(c4ccc([*])cc5C5=O)cc4C3=O)c2)c1,False,True
350.0,18,[*]CC([*])(C)C(=O)OC(=O)OC(=O)OC12CCC(C)(C(C)C)C(C)C1(Cl)CC1,False,True
350.0,19,[*]CC([*])c1ccc(Cl)cc1C,True,True
350.0,20,[*]c1ccc(N(CCCC(CCCCCCCCCC)cc2)cc([*])s1,False,True
350.0,21,[*]c1ccc(Sc2cc(Oc5ccc(Oc5cccc(NC([*])=O)cc4)cc3)cc2)c(C)c1,False,True
350.0,22,[*]c1ccc(OC(=O)COCCCCCCCC)cc(-c2nn3c(=O)c3ccc(Oc4ccc(OC([*])=O)cc3)cc2)cc1,False,True
350.0,23,[*]C(=O)Oc1ccc(C(=O)c2c(c3cc(C(=O)Nc4ccc(C([*])=O)cc4n3)cc2)cc1,False,True
350.0,24,[*]OCCCCCCCCCCOc1ccc(C([*])=O)cc1,True,True
350.0,25,[*]c1ccc2c(c1)C(=O)N(c1ccc(OCCCCCCCCCN3C(=O)c5ccc(C(=O)c6ccc(N6C(=O)c8cc(C([*])(=O)CC8CC6=O)cc5)c4)C5=O)C4=O)(C3C2)c1)C1=O,False,True
350.0,26,[*]OCCCC1CCCCOC(=O)c2ccc(OC(=O)c3ccc(CC(=O)N(c4cccc(C([*])=O)cc4)cc3C3=O)cc2)cc1,False,True
350.0,27,[*]c1ccc(OCCCCCCCN2CCCC(=O)Oc3ccc(C(=O)Oc3ccc(Oc4ccc(Oc5ccc([*])cc5C)c4)C)cc2C)c1,False,True
350.0,28,[*]NC(=O)NCCC)c(C(=O)NC(=O)c1cc(OC(=O)c2ccc([*])cc2O)cc1Br,False,True
350.0,29,[*]CCc1ccc(-c2cccc3c2)CCCOc2ccc(CCCCCCCCN([*])c3nc3ccc3OCCCCCCCCCCCCC)c1,False,True
350.0,30,[*]CCCCCCCCCCC(=O)NCCCC(=O)c1ccc(C(=O)OCCCCOc2c(c2)C(=O)N([*])=O)cc1,False,True
350.0,31,[*]C(=O)Nc1cc(OC(=O)c2ccc(OCCCCCCCOc3c(CC(O)Oc4ccc(OCCOC(=O)c5cccc(NC([*])C)cc5CC(=O)CCCC)CO)cc4C4CCCCCCCCC)cc3CC2)c1,False,True
350.0,32,[*]Oc1ccc(-c2nc(-c3nc(-c4ccc([*])ccc4)o3-c2cccc(-c4cccccc4)cc23cc1,False,True
350.0,33,[*]CCCCCCCN1C(=O)c2ccc(-c3ccc(Oc4cccc5nc([*])=O)cc4)cc2)oc1,False,True
350.0,34,[*]CC([*])c1ccc(C(=O)Oc2cccc(C(C)(C)C)cc2)c1,False,True
350.0,35,[*]CC=C1CC(=O)N(C(O)C2C(=O)OC(C(F)(F)(F)C(F)(F)(F)C(F)C(F)(F)(F)C(F)C([*])(C(F)(F)C(F)C(F)(F)F)C1(F)C(C1=O,False,True
350.0,36,[*]N=Nc1ccc(C(=O)c2ccc(OCCCCCCCCCCN(C)c3ccc(C([*])=O)cc2)cc1,False,True
350.0,37,[*]OC(=O)c1ccc(S(=O)(CC)c2ccc(OCC(=O)OCCOc3ccc(Oc4ccc(OC([*])=O)cc4)cc3)c2)ccc1,False,True
350.0,38,[*]Oc1ccc(Sc2ccc(N3C(=O)c4ccc(OC(C)(C5CCOc5ccc(P([*])(=O)=O)cc6)cc4)cc3)cc2)cc1,False,True
