target_tg,sample_index,smiles,is_valid,is_unique
350.0,0,[*]=CCC(=[*])c1ccc(/N=N/[Si](=O)[Na])cc1OCCCCCC,True,True
350.0,1,[*]CCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCCCCCC)cc2)c([*])c1,True,True
350.0,2,[*]CC([*])(C)C(=O)OCc1ccc(OCc2ccc(N3C(=O)c4ccccc4C)cc3)cc2C)c(C1,False,True
350.0,3,[*]CC([*])c1cc(F)c(F)cc1=CCCCC/C=C/[N+](=O)OCCCC,False,True
350.0,4,[*]OCCC([*])C(=O)Oc1ccc(/N=C/c2ccc(Cc3ccc([N+](=O)[O-])cc3)cc2)cc1,True,True
350.0,5,[*]NCCCCCc1cc(OC([*])=O)cc(NC(=O)c2ccccc2)o1,False,True
350.0,6,[*]CCCCCOC(=O)NC(Cc1ccc(OCCCCCOC([*])=O)cc1)OCC,True,True
350.0,7,[*]CC(O)COC(=O)NCCCCCCC(=O)Nc1cc(C)c(OC(=O)COP(=O)(O[*])c2ccc([N+](=O)[O-])cc2)cc1)C(C)(C)C,False,True
350.0,8,[*]CC([*])C(=O)OCCCCCCOc1c(C(C)(CC)C)cc(OC)c2ccccc2O)c1,False,True
350.0,9,[*]CCCCCCCNC(=O)c1ccc(-c2cc(CCCCC([*])=O)cc(NC(=O)OCC)c2)cc1,True,True
350.0,10,[*]CCCCCC(=O)Nc1ccc(C(c2ccc(C(c3ccccc3)(O)CCO)c3ccc(NC([*])=O)cc3)cc2)cc1,False,True
350.0,11,[*]CCCCCCCCCNc1ccc(-c2ccc(-c3ccc(-c4nnc([*])cc4[Si](C)(C)C)c3)cc2)cc1,False,True
350.0,12,[*]N=P([*])(C)CCC/C=C/c1ccc2cc(C)ccc1C=C1Oc1ccc(C(C)(C)c3ccc(C)cc3)cc2C1,False,True
350.0,13,[*]CC(C)(C=CCCCCC)COc1cc([*])c(S(=O)(=O)OC)cc1OC,True,True
350.0,14,[*]CCCC(=O)NCc1ccc(OC(=O)/C=C/CC(=O)O[*])cc1,True,True
350.0,15,[*]CCC(F)(F)CN([*])[Si](C)(C)c1ccc(C)cc1,True,True
350.0,16,[*]Cc1ccc(-c2ccc(C3(c4ccc([Si]([*])([2H])[Si](C)(C)C)cc4)cc3[2H])cc2)C)cc1,False,True
350.0,17,[*]CC(C)c1ccc(/C=C/P([*])(=O)O[Si](C)(C)CCC3=O)cc1,False,True
350.0,18,[*]CCCCCOC(=O)c1ccc2ccccc1-c1ccc(OCCCCCOS(=O)(=O)c2ccc([N+]([*])(=O)Oc3ccccc3)cc2)cc1,False,True
350.0,19,[*]CC([*])(COC(=O)OCc1ccc(OC(=O)c2ccccc2)OCCCCCCCCC)C(=O)OC(C#N)cc1Cl,False,True
350.0,20,[*]CC(=O)OCCCCOc1ccc(Sc2ccc(OC(=O)c3ccc(C([*])=O)cc3)c(OC)c2)c([2H])c1,True,True
350.0,21,[*]Nc1ccccc1C(=O)OCC(Oc1ccc(/C=N/c2ccc([*])cc2)c1)C2=NC(=O)C1CCCCCC1,False,True
350.0,22,[*]CCCCCCCC([*])COCCOC(=O)c1cccc(Sc2ccccc2)c1ccccc1,False,True
350.0,23,[*]CC(c1ccc(OC)cc1)Nc1ccc(/C=N/N(C([*])=O)c2ccc(C)cc2)c(C)c1,True,True
350.0,24,[*]OCCCCC1C(=O)c2cc3c(c3)C(=O)N(CCCOC(=O)C(=O)N(c3ccc(CCNC(=O)C([*])=O)cc3)CC2OC)C1C2O,False,True
350.0,25,[*]CC([*])(C)C(=O)OCCOc1ccc(Oc2ccc(/C=N/c3ccc(NC(=O)c4ccccc4C#N)cc3)cc2)cc1,True,True
350.0,26,[*]CNC(=O)OC1CCCCC(C([*])=O)C1=O,True,True
350.0,27,[*]CC(=O)OCCCCCC1COC(=O)c2cccc(OC(=O)O[*])c2)CCCCC1,False,True
350.0,28,[*]C(C#N)c1ccc(C([*])=O)cc1C(CC)CCC,True,True
350.0,29,[*]CCCCCCCCCC(CC(C)C)N([*])Cc1ccc(Oc2ccccc2)cc1CCC,True,True
350.0,30,[*]O[Si]([*])(CCCCC)c1ccc(OC(=O)C=CC(=O)OC)c2ccc(C2)cc1,True,True
350.0,31,[*]Oc1ccc(NC(=O)C(CC(C)(C)C)C(=O)Nc2ccc(C([*])=O)cc2)cc1,True,True
350.0,32,[*]CC(C)NC([*])=O,True,True
350.0,33,[*]CCOC(=O)CCCCCC(=O)Nc1ccc(C(=O)C(O)CN(c2ccc(N([*])C)cc2)C3=O)cc1,False,True
350.0,34,[*]CC(C)(C)C(=O)Nc1ccc(NC(=O)CCCCCOC(=O)c2ccc(C(=O)NCC(=O)Nc3ccc(C(=O)Oc4ccc(OC(=O)c5ccc(C(=O)O[*])cc5)cc4)cc3)cc2)cc1,True,True
350.0,35,[*]CCCCC(C)CNC(=O)c1ccc(C(=O)NC([*])CN2C)cc1,False,True
350.0,36,[*]CCC([*])C(=O)NCCCCCn1ccc2c(c1)C(=O)OCC(C)C1=O,False,True
350.0,37,[*]Cc1ccc(CN2C(=O)c3ccc(C#N)nc3OCc4ccc([*])nc3[nH]2)cc1,False,True
350.0,38,[*]Cc1ccccc1CCCCCCOC(=O)CS(C)(C)C([*])=O,True,True
350.0,39,[*]C=CCOC(=O)NSc1ncc(Cc2ccc(NC(=O)SCC([*])=O)cc2Br)cc1,True,True
350.0,40,[*]CCCCCCOP(=O)(/C=N/c1ccc(OCc2ccc(-c3ccc(C#N)cc3)cc2)cc1)C([*])=O,True,True
350.0,41,[*]SCC(=O)N(CCOc1ccc(-c2ccc(/N=C(\[*])C(=O)O)cc2)cc1)C,True,True
350.0,42,[*]OC(=O)c1cc(C#N)cc(Oc2ccc(C([*])=O)cc2-c2ccccc2)c1,True,True
350.0,43,[*]OCCOC(=O)c1ccc2ccc(C=O)c([*])c(=O)n2c1=O,True,True
350.0,44,[*]C=Cc1ccc(N(c2ccc(C#N)cc2)c2ccc(Oc3ccc(C(=N)c4ccc(C([*])=O)cc4)cc3)cc2)cc1OC,True,True
350.0,45,[*]Oc1ccc(C(C)(C)c2ccc(/N=NN/C(=O)CCC(O)C([*])CCC)c3cc(C#N)ccc3[N+](=O)[O-])cc2C(C)CC(C)=O)c(C#N)c1,False,True
350.0,46,[*]CC(=O)NCC(C)CC(=[*])c1ccc(N[N+](=O)[O-])cc1,True,True
350.0,47,[*]Oc1ccc(C2([*])c3ccccc3OCCCC)cc1,False,True
350.0,48,[*]Oc1ccc(NC(=O)c2ccc(CCCN([*])OC)cc2)c(C)c1,True,True
350.0,49,[*]Oc1cc(C=CC(NCCCCC)c2ccc(N=[*])cc2)c(C)c1,False,True
350.0,50,[*]CCCCCCc1ccc(/C=C/C(=O)/C=C/c2ccc([*])cc2)cc1O,True,True
350.0,51,[*]C=Cc1ccc(OCCCCCCCC)c2ccccc2c1[*],False,True
350.0,52,[*]CC(c1ccc(C)cc1)C(=O)NC(CC(C)(C)CCCN(c1cc(C(=O)OC)cc1)c1ccc([*])cc1C)(C)C,False,True
350.0,53,[*]CCC1C(=O)N(CCSCCNC(=O)c2ccc([*])o2)C(=O)OCCN1C(=O)S2,False,True
350.0,54,[*]CCOC(=O)Oc1ccc(C)c(C(C)(C)c2ccccc2)c1[*])OCCCCCC,False,True
350.0,55,[*]CC([*])c1ccc(CNC(=O)OCCCCCC)cc1,True,True
350.0,56,[*]Nc1c(CC)cc(C([*])=O)cc1OCC,True,True
350.0,57,[*]Oc1cc(C)c(CCCCCC(=O)Oc2ccc(-c3ccccc3)cc2OC([*])=O)c(-c2ccccc2)c1,True,True
350.0,58,[*]CSCCC1CC(CP(=O)(OCCCC)O)C1[*])c=C/c(=O)c1ccccc1,False,True
350.0,59,[*]CC([*])c1ccc(-c2ccc(C(=S)c3ccc(P(=O)(Oc4ccccc4)cc3)cc3)cc2)c2ccccc2ncc12,False,True
350.0,60,[*]CC/C=C(\C)CC(CO[*])(C)C,True,True
350.0,61,[*]CCC1(C)CCCCCCCOc2ccc(C=[*])cc2)CO1,False,True
350.0,62,[*]CCCCCC([*])c1cc(-c2cccc(C(=O)OC(C)=O)c2)ccc12,False,True
350.0,63,[*]CCOc1ccc(-c2ccc(OC(=O)c3ccc(/C=C/[SH](=O)[O-])cc3)c3ccc(CC(C)N([*])C)cc3)cc2)cc1,False,True
350.0,64,[*]C(=O)Nc1cc(OC(C)C(N[N+](=O)[O-])cc1)C(=O)OC(C)C(Te)(Oc1ccc([*])cc1)C([N+](=O)[O-])OC=C(F)(Cl)C(F)(F)F)F,False,True
350.0,65,[*]C=Cc1ccc(/C=N/c2ccc(-c3ccc(NC(=O)c4ccc(C=C[Si](C)(C)c5ccc(O[*])cc5)cc4)cc3C2=O)cc2)cc1,False,True
350.0,66,[*]C[Si]([*])(c1ccc(CCCCC)cc1)Oc1cccc(O)c1,True,True
350.0,67,[*]C(=O)c1ccc2c(c1)C(=O)OCCCCCCCOc1ccc(/N=N/c2ccc(Oc3cc([*])ccc3C)cc2)c(OC)c1,False,True
350.0,68,[*]SC([*])c1cc(C)c(OCCCOCCCCCOC(=O)c2ccc(Cl)cc2)c1SC,False,True
350.0,69,[*]CCN1CC(CP(=O)(Cc2ccc(NCC([*])(=O)=S)cc2)Cc2ccc(C#N)cc2)CC1,False,True
350.0,70,[*]OC(=O)c1ccc2[Si]([*])(C)O[Si](C)(C)C)cc1,False,True
350.0,71,[*]CCCCCC(=[*])c1cc(Oc2ccc(C(C)(C)C)cc2)c(Oc2ccccc2S(=O)(=O)O[Na])c1,False,True
350.0,72,[*]c1ccc([*])c(OCCN2C(C)(C)C)cc1,False,True
350.0,73,[*]Cc1ccc(CC(C)(c2ccc(NC(=O)c3ccc(CCCC)cc3)c3ccc(C([*])=O)cc3)cc2)cc1,False,True
350.0,74,[*]OC([*])c1ccc(/C=C/c2ccc(-c3ccc(C3=NC4(C)CCCC)cc3)cc2)cc1,False,True
350.0,75,[*]N([*])c1ccc(C(=O)Oc2ccc(OCCCOc3ccc(C(=O)c4ccccc4)cc3C)cc2)c(OC)c1,True,True
350.0,76,[*]N=C([*])c1cccc2ccc(S(=O)(=O)c3ccccc3C#C)cc2c1,False,True
350.0,77,[*]CCN1C(=O)OC(O)COC(=O)C(CC([*])=O)c2ccccc12,True,True
350.0,78,[*]CC([*])C(=O)Nc1ccc(C(=O)Oc2cccc3)c2cccc(C(=O)N(C)C)c2)cc1,False,True
350.0,79,[*]CC([*])C(=O)Nc1ccc(Oc2ccc([N+](=O)(N)Oc3ccccc3)nc2)cc1,False,True
350.0,80,[*]CCCCCCCCC(=O)Nc1cccc(NC(=O)c2ccc(N3C(=[*])cc3)cc2)C1=O,False,True
350.0,81,[*]Oc1ccc(OC(=O)c2ccccc2-c2ccc(Oc3ccc(C(=O)Oc4ccc(N([*])C)cc4)cc3)cc2)cc1,True,True
350.0,82,[*]NC(=O)c1cc(OCCCCCCCCC)cc(N2C(=O)N([*])C(F)(F)F)c1C(C)C,False,True
350.0,83,[*]CCCCCCCCOc1ccc(C(=O)OC2CCCC(OC(=O)SC3COC(Oc4ccc(O[*])cc4)cc3)OC2=O)cc1,True,True
350.0,84,[*]c1ccc(OCCCCCCC(=O)Oc2ccc(ON([*])=O)cc2)cc1,False,True
350.0,85,[*]CCSCCCOc1ccc(NC(=Cc2nnnc([N+](=O)[O-])c3)C(=O)OC(C([*])=O)cc2)cc1,False,True
350.0,86,[*]Cc1ccc(OCCCCCOC(=O)Nc2ccc(C(=O)Nc3ccc(C)c([*])c3)cc2C)c(O)c1,True,True
350.0,87,[*]CCCN([*])C(=O)OCc1ccc(-c2ccc(NC(=O)C(F)(F)F)c(C)c2)cc1,True,True
350.0,88,[*]CCC([*])C(=O)Nc1cc(OCCC)cc(CCC)c1,True,True
350.0,89,[*]CCCCCC(=O)NCP(C)(CCNC([*])=O)C1=O)C1CC(C)(C)C1,False,True
350.0,90,[*]CCC(O)COC(=O)Nc1ccc2ccccc1N2C(=O)c2c(N3C(=O)OCCCCCCCN3C(=O)c4ccc(C(=O)Oc5ccc([*])cc5C4=O)cc3)ccc2C1=O,False,True
350.0,91,[*]C(=O)NCc1ccc([Si]([*])(CCC)CCC)cc1CSC(=O)C(=O)O[Na],True,True
350.0,92,[*]C[Se]C(=O)NCCCC(=CC=[*])c1cccc(N(C)C)c1)OCCCCC,False,True
350.0,93,[*]=Cc1ccc(OCCCCCCCOC2COC(=O)/C=N/CCCC([2H])(F)C(=O)N([*])C2=O)cc1,True,True
350.0,94,[*]Oc1ccc(C=C=C(CN(C)C)c2ccc([*])cc2)CC1,True,True
350.0,95,[*]Nc1ccc(C(C)(C)c2ccc(OC(=O)Nc3ccc(C(=O)Nc4c(C)cc(N5C6CC([*])=O)cc5C4=O)cc3-c3ccccc3)cc2)cc1,False,True
350.0,96,[*]CCCC(=O)OCCCCCCOc1ccc(C2(O)c3ccc([*])cc3[N+]H]2)nc1,False,True
350.0,97,[*]OC(C)c1ccc(Cc2ccc(OC(=O)N(C)C([*])=O)cc2)C2=O)cc1,False,True
350.0,98,[*]=Nc1ccc(-c2ccc(NC(=[*])/C=C/C(=S)OCC(C)C)c(OC)c2)cc1,True,True
350.0,99,[*]COCCc1ccc(CNC(=O)C(CCSc2ccccc2)c2ccc(C(=O)S[*])cc2)c(Cl)c1,True,True
350.0,100,[*]CCC(=O)Nc1ccc(Oc2ccc(S(=O)(=O)c3ccc4c(c3)C(=O)OCCCCCCCOc4ccc(C([*])=O)cc4C3=O)cc2)cc1,False,True
350.0,101,[*]C=C([*])C(=S)c1ccc([2H])cc1,True,True
350.0,102,[*]OC(=O)c1ccc(OCCSc2ccc([*])o2)cc1S(=O)(=O)CCCCCCC,True,True
350.0,103,[*]CCC(=O)OC(=O)/C=C/S(=O)(=O)c1ccc(/N=C2\COC(=O)c3ccc(Oc4ccc(/C=N/c5ccc(OC[*])cc5)cc4)cc4)cc3)cc1,False,True
350.0,104,[*]CCCCOC(=O)Oc1ccc(CC(=O)OCCCCCCCCCOc2ccc(NC([*])=O)cc2)cc1,True,True
350.0,105,[*]CCC(C=CC1(COCC([*])=O))C1C=O,True,True
350.0,106,[*]CC([*])c1ccc(NC2C(=O)C(Cc3ccc(COC)c(C#N)c3)c3ccc(C(C)(C)C)c(F)c3)cc2ccccc232)cc1,False,True
350.0,107,[*]C(=O)c1cc(OCCOc2ccc(C(=O)c3ccc4c(c3)C(=O)N([*])C)cc2C)cc(C)c1,False,True
350.0,108,[*]c1ccc(C=C(CCC(=O)OCc2ccc(/N=N/c3ccc(OCC#N)cc3)s2)c2ccccc2)nc1,True,True
350.0,109,[*]C(=O)NCCCCCC[*]CN1C(C)c2ccc(C(C)C)cc2)c(F)c1,False,True
350.0,110,[*]CC([*])c1ccc(NCCCCCCCCOc2ccc(C=C)cc2)cc1,True,True
350.0,111,[*]CCN(C)C(=O)Oc1ccc(C(C)(C)c2ccc(/C=C/c3cc(OCCCCCCCCCCCN(C)c4ccc([*])cc4)cc3)cc2O)c(N2)c1,False,True
350.0,112,[*]C=CCN1C(=O)C(CCCCCCCCC)C([*])=O)C1N,False,True
350.0,113,[*]C([*])OCc1ccc(/C=C/c2ccccc2)c(Cl)c1-c1ccccc1,True,True
350.0,114,[*]CC(=O)c1cccc(OCCCCCCOc2ccc([*])nc2[nH]1,False,True
350.0,115,[*]CCN(CCCCC)C([*])NC=C,True,True
350.0,116,[*]C(=O)Oc1ccc(/C=N/c2ccc([*])cc2)cc1C(=O)O[Si](N)(F)F,True,True
350.0,117,[*]=Cc1ccc(C(=O)c2ccc(OCCCN3C([*])c4ccccc4)cc2)cc1,False,True
350.0,118,[*]CCCC(CI)CNC(=O)CC(O)CN[*],True,True
350.0,119,[*]Oc1ccc(NC(=O)CCCCCCC(C#N)CC2[*])cc1OC,False,True
350.0,120,[*]C=Nc1ccc(Oc2c(CCCC)ccc([*])c2N)cc1C,True,True
350.0,121,[*]CC(C)(C)c1ccc(Oc2ccc(NC(=O)OC3CCCC=CC([*])=CC=NNC3=O)cc2)cc1OC,True,True
350.0,122,[*]CC([*])C(=O)Nc1cc(CCCC)oc(C(=O)OCC)c1,False,True
350.0,123,[*]OCCCCCCCCCOc1ccc(NC(=O)CCCCC(=O)Nc2ccc(C([*])=O)cc2Sc2ccccc2)cc1,True,True
